user_id,age,gender,country,subscription_type,preferred_genres,avg_daily_watch_time,preferred_watch_time,account_age_months
1,40,Male,UK,Standard,"Comedy,Thriller",8.0,Evening,47
2,33,Male,USA,Standard,"Animation,Fantasy",4.89,Afternoon,5
3,42,Male,Brazil,Standard,"Animation,Drama",4.6,Morning,15
4,53,Male,UK,Standard,Comedy,2.5,Afternoon,31
5,32,Male,UK,Basic,"Action,Documentary,Horror",0.5,Evening,26
6,32,Female,USA,Premium,"Romance,Horror",4.97,Evening,4
7,53,Female,UK,Premium,"Documentary,Animation",0.63,Afternoon,4
8,44,Female,Mexico,Premium,"Animation,Drama,Documentary",0.77,Evening,44
9,29,Male,UK,Standard,"Documentary,Thriller,Sci-Fi",3.53,Night,50
10,41,Male,India,Standard,"Romance,Drama",3.15,Afternoon,19
11,29,Male,India,Standard,Action,0.5,Evening,26
12,29,Other,USA,Basic,"Sci-Fi,Documentary,Romance",0.73,Evening,50
13,37,Female,USA,Standard,Documentary,4.26,Morning,33
14,18,Female,Mexico,Basic,Sci-Fi,7.47,Evening,4
15,18,Male,UK,Basic,Thriller,0.77,Evening,57
16,28,Female,USA,Premium,"Comedy,Documentary",3.57,Evening,47
17,22,Male,USA,Basic,"Horror,Comedy",1.76,Night,38
18,38,Female,Germany,Premium,"Documentary,Thriller",1.2,Evening,24
19,24,Female,Australia,Standard,"Thriller,Fantasy,Horror",5.71,Evening,31
20,18,Other,USA,Premium,"Sci-Fi,Thriller,Documentary",1.99,Evening,34
21,52,Female,USA,Basic,"Action,Thriller,Sci-Fi",2.94,Night,34
22,32,Male,India,Standard,Sci-Fi,2.24,Evening,2
23,35,Female,Japan,Standard,Comedy,2.58,Evening,43
24,18,Female,Germany,Premium,Sci-Fi,1.82,Evening,8
25,28,Male,Australia,Standard,"Sci-Fi,Animation",1.91,Evening,49
26,36,Male,UK,Standard,"Romance,Sci-Fi,Documentary",4.78,Evening,21
27,21,Male,Japan,Premium,Sci-Fi,0.9,Night,12
28,39,Male,UK,Standard,"Animation,Horror",3.33,Night,36
29,27,Male,USA,Basic,"Animation,Romance,Drama",0.78,Evening,59
30,31,Female,Japan,Standard,"Fantasy,Drama,Romance",0.5,Night,1
31,27,Male,UK,Standard,Comedy,5.84,Night,42
32,57,Male,India,Standard,"Animation,Documentary,Fantasy",1.32,Night,39
33,34,Female,UK,Standard,"Sci-Fi,Romance,Thriller",2.87,Afternoon,16
34,22,Female,India,Basic,"Animation,Documentary,Romance",3.55,Afternoon,49
35,44,Female,India,Standard,"Action,Animation,Thriller",3.99,Evening,6
36,20,Male,USA,Premium,"Fantasy,Comedy",0.64,Evening,33
37,37,Female,Australia,Standard,"Drama,Fantasy",2.67,Evening,43
38,18,Female,UK,Standard,Animation,3.57,Evening,13
39,19,Male,India,Basic,"Drama,Action,Comedy",0.5,Evening,45
40,37,Male,Canada,Standard,"Horror,Comedy",0.5,Evening,9
41,43,Female,Japan,Basic,"Horror,Sci-Fi,Drama",1.13,Evening,35
42,37,Female,Canada,Standard,Horror,0.9,Morning,28
43,33,Other,USA,Standard,"Animation,Action,Romance",3.99,Night,34
44,31,Female,USA,Premium,"Thriller,Fantasy",2.57,Evening,32
45,18,Female,UK,Basic,Fantasy,1.72,Afternoon,55
46,26,Female,Japan,Standard,"Horror,Animation",0.5,Evening,1
47,29,Male,Germany,Standard,"Documentary,Sci-Fi",0.5,Evening,39
48,47,Male,France,Standard,"Sci-Fi,Drama,Animation",1.82,Evening,25
49,39,Male,USA,Premium,Horror,5.36,Evening,52
50,18,Female,Canada,Standard,"Thriller,Sci-Fi,Action",3.73,Afternoon,10
51,38,Female,USA,Basic,Action,5.33,Evening,2
52,30,Female,Brazil,Standard,"Romance,Horror,Sci-Fi",2.08,Evening,4
53,26,Male,India,Standard,"Sci-Fi,Action",0.63,Morning,25
54,42,Female,UK,Basic,Sci-Fi,0.5,Night,16
55,47,Male,USA,Standard,Animation,7.04,Evening,40
56,46,Male,USA,Standard,Drama,1.61,Night,44
57,24,Female,France,Standard,Drama,4.9,Evening,5
58,31,Female,Germany,Basic,"Romance,Animation",3.3,Evening,56
59,38,Other,Australia,Standard,"Action,Drama,Documentary",4.46,Night,23
60,46,Male,USA,Standard,Fantasy,0.59,Evening,20
61,29,Female,Australia,Standard,"Drama,Animation,Fantasy",2.84,Evening,3
62,32,Male,France,Premium,Action,3.21,Afternoon,1
63,21,Male,UK,Basic,Documentary,2.01,Afternoon,46
64,20,Female,Canada,Premium,Action,4.51,Evening,51
65,44,Female,USA,Standard,Animation,8.0,Evening,56
66,51,Female,Canada,Premium,"Drama,Documentary",0.5,Evening,25
67,34,Male,Mexico,Standard,"Fantasy,Action",1.52,Evening,16
68,47,Female,UK,Standard,"Fantasy,Action,Drama",3.51,Night,41
69,39,Male,Brazil,Premium,Sci-Fi,3.23,Afternoon,5
70,27,Female,Germany,Premium,Thriller,1.58,Evening,36
71,39,Male,USA,Standard,Documentary,4.62,Evening,6
72,53,Male,Germany,Basic,"Sci-Fi,Drama,Horror",2.81,Morning,12
73,34,Female,Canada,Standard,"Animation,Drama",1.99,Evening,46
74,53,Female,UK,Premium,"Fantasy,Thriller",0.8,Evening,23
75,18,Male,USA,Standard,Thriller,1.14,Morning,46
76,44,Male,UK,Standard,Animation,8.0,Evening,38
77,36,Female,USA,Premium,"Romance,Action",5.91,Evening,5
78,31,Male,USA,Premium,Romance,2.97,Evening,2
79,36,Male,UK,Standard,Comedy,4.9,Night,3
80,18,Male,UK,Standard,"Documentary,Animation",0.5,Evening,41
81,32,Male,India,Premium,"Romance,Comedy,Drama",0.78,Evening,7
82,39,Female,UK,Standard,"Sci-Fi,Drama",5.41,Morning,26
83,52,Female,Japan,Premium,"Animation,Sci-Fi",1.59,Afternoon,12
84,28,Female,Canada,Standard,"Romance,Sci-Fi",2.23,Evening,50
85,25,Other,France,Standard,Documentary,5.38,Evening,45
86,28,Male,USA,Standard,Animation,1.29,Evening,1
87,45,Male,India,Standard,"Drama,Romance,Animation",1.64,Evening,1
88,38,Male,Canada,Premium,"Sci-Fi,Documentary,Romance",0.5,Afternoon,33
89,28,Male,Brazil,Standard,"Fantasy,Action",8.0,Evening,54
90,41,Male,UK,Standard,"Horror,Fantasy",8.0,Afternoon,53
91,36,Female,USA,Standard,Fantasy,0.88,Evening,39
92,46,Female,France,Standard,Romance,4.78,Night,53
93,26,Male,USA,Standard,Romance,3.34,Evening,9
94,31,Female,Canada,Standard,"Drama,Documentary,Horror",0.5,Morning,1
95,30,Female,USA,Standard,"Fantasy,Drama,Sci-Fi",0.5,Evening,15
96,18,Female,Germany,Premium,Action,0.5,Evening,25
97,38,Female,India,Premium,"Thriller,Documentary",0.5,Evening,44
98,38,Female,Canada,Standard,"Thriller,Action",2.47,Evening,36
99,35,Female,Brazil,Standard,"Comedy,Sci-Fi",1.69,Evening,10
100,32,Female,Canada,Standard,"Sci-Fi,Horror",8.0,Afternoon,55
101,18,Female,Canada,Standard,"Comedy,Drama",0.84,Afternoon,50
102,29,Male,India,Premium,"Drama,Romance,Fantasy",3.23,Morning,31
103,30,Male,Mexico,Standard,Fantasy,1.22,Morning,51
104,25,Female,Australia,Standard,"Animation,Comedy,Sci-Fi",0.5,Night,20
105,33,Male,USA,Standard,"Romance,Comedy",5.24,Evening,5
106,39,Male,Canada,Standard,Drama,1.28,Evening,28
107,57,Female,USA,Basic,Sci-Fi,6.22,Evening,34
108,37,Male,UK,Standard,"Horror,Thriller,Drama",6.91,Evening,39
109,38,Female,Canada,Basic,Romance,4.29,Afternoon,38
110,34,Female,Brazil,Premium,"Action,Thriller",0.5,Evening,16
111,18,Other,Mexico,Premium,"Romance,Fantasy",8.0,Evening,15
112,34,Female,UK,Premium,"Horror,Sci-Fi,Action",0.5,Evening,41
113,35,Male,USA,Premium,"Action,Animation,Fantasy",6.7,Evening,39
114,64,Female,Mexico,Standard,Action,2.33,Evening,42
115,32,Female,USA,Premium,Animation,1.18,Night,26
116,38,Other,Germany,Basic,"Sci-Fi,Animation,Documentary",3.19,Evening,30
117,34,Male,USA,Basic,"Horror,Romance",1.77,Afternoon,2
118,20,Male,UK,Premium,Drama,3.96,Evening,3
119,48,Female,India,Basic,"Horror,Action",1.8,Evening,19
120,44,Male,USA,Premium,Drama,1.15,Night,56
121,44,Female,UK,Standard,"Documentary,Drama,Thriller",1.12,Morning,24
122,24,Male,UK,Premium,Animation,1.09,Evening,3
123,51,Male,Mexico,Standard,"Sci-Fi,Action",1.6,Evening,40
124,18,Male,Mexico,Standard,Drama,0.5,Evening,5
125,42,Male,USA,Basic,"Comedy,Thriller",2.71,Evening,59
126,61,Female,USA,Premium,"Romance,Comedy",1.04,Afternoon,32
127,23,Female,Germany,Basic,"Animation,Thriller,Romance",2.06,Evening,52
128,28,Male,UK,Standard,"Action,Drama",1.87,Evening,31
129,36,Female,France,Standard,Sci-Fi,4.86,Evening,12
130,28,Male,USA,Basic,"Action,Documentary,Animation",4.95,Afternoon,43
131,18,Female,USA,Standard,"Romance,Comedy",8.0,Night,36
132,35,Male,France,Basic,"Animation,Sci-Fi,Documentary",0.69,Evening,36
133,22,Female,USA,Premium,Fantasy,0.5,Evening,31
134,40,Female,Brazil,Standard,Action,1.38,Evening,33
135,23,Female,USA,Standard,Romance,5.67,Evening,59
136,53,Female,USA,Standard,"Fantasy,Sci-Fi,Comedy",2.29,Evening,7
137,25,Female,India,Standard,Drama,1.17,Evening,59
138,31,Other,UK,Standard,"Documentary,Drama,Action",3.7,Evening,26
139,44,Female,France,Premium,"Drama,Action,Documentary",3.11,Morning,26
140,20,Female,USA,Basic,"Sci-Fi,Animation",3.13,Afternoon,20
141,37,Female,Germany,Basic,Sci-Fi,1.81,Morning,34
142,50,Male,Japan,Standard,Comedy,1.89,Afternoon,33
143,18,Female,UK,Standard,"Drama,Animation,Sci-Fi",2.03,Morning,19
144,37,Male,Brazil,Standard,Documentary,2.01,Afternoon,17
145,38,Female,Germany,Standard,"Horror,Drama,Action",0.58,Evening,43
146,44,Female,UK,Premium,"Action,Drama",0.71,Evening,37
147,20,Female,Germany,Basic,Sci-Fi,1.17,Night,6
148,19,Male,Germany,Standard,"Sci-Fi,Drama",4.84,Evening,59
149,41,Male,USA,Standard,"Animation,Romance,Documentary",1.55,Morning,22
150,38,Female,UK,Standard,"Drama,Comedy",6.52,Evening,38
151,38,Female,UK,Premium,"Drama,Action",3.94,Evening,55
152,39,Male,UK,Standard,Comedy,4.94,Evening,17
153,26,Male,Australia,Premium,"Horror,Animation,Romance",0.5,Evening,20
154,37,Female,Canada,Standard,"Drama,Fantasy,Documentary",0.5,Night,42
155,38,Female,India,Basic,Sci-Fi,0.68,Morning,42
156,26,Male,USA,Basic,"Action,Comedy",2.72,Evening,41
157,57,Male,UK,Standard,Fantasy,1.62,Night,26
158,40,Male,Australia,Standard,Romance,0.5,Evening,28
