user_id,show_id,rating,liked,minutes_watched,watch_percentage,interaction_date
861,316873,8.3,1,99,83.1,2024-08-23
2905,1379877,4.7,0,45,37.6,2024-12-05
1479,1421811,10.0,1,42,35.4,2024-09-26
4912,826914,7.7,0,75,63.3,2024-05-18
392,1061617,7.5,1,31,26.5,2024-02-04
2691,295581,8.2,1,47,39.2,2024-06-18
1598,600583,7.5,1,1,1.0,2024-05-16
4414,229296,5.7,0,51,42.6,2024-05-05
1708,731961,6.1,1,108,90.1,2024-05-26
3220,121239,10.0,1,98,82.2,2024-01-02
3724,356084,5.2,0,4,4.1,2024-04-08
2201,840705,3.3,0,37,31.4,2024-05-07
3105,586032,5.6,0,42,35.3,2024-05-26
4643,968868,5.2,0,113,94.8,2024-10-07
570,332976,3.7,0,25,21.4,2024-01-13
2951,464331,5.8,0,115,96.7,2024-09-27
2492,632309,7.8,1,87,72.9,2024-11-14
3676,272693,8.3,1,112,93.5,2024-03-26
2745,774021,5.0,1,109,91.2,2024-11-20
4612,682254,5.5,0,45,38.3,2024-02-13
4381,681580,5.1,0,29,24.7,2024-04-23
1517,504148,4.0,0,71,59.9,2024-07-01
2327,1153110,7.9,1,74,62.0,2024-02-22
3223,38356,6.6,0,94,78.4,2024-12-04
3720,1092060,7.3,0,24,20.4,2024-08-29
1244,200713,8.0,1,41,34.9,2024-08-14
3513,1434424,3.0,0,46,38.8,2024-12-22
4137,284288,6.8,0,114,95.8,2024-12-06
4159,1058638,4.5,0,35,29.6,2024-07-23
4545,276922,5.4,0,91,76.4,2024-07-10
4860,392820,6.6,0,42,35.3,2024-03-09
2594,490545,7.2,1,111,93.1,2024-05-01
3123,428495,4.8,1,92,77.2,2024-08-01
2287,1180445,1.4,0,74,62.0,2024-08-26
1532,554776,5.3,1,99,82.6,2024-03-07
233,749618,5.1,1,74,62.3,2024-12-15
3518,695568,4.2,0,26,22.5,2024-10-26
1142,1436524,6.2,1,106,88.4,2024-01-10
261,43074,6.3,1,83,70.0,2024-12-14
3851,531428,7.7,1,34,28.8,2024-03-03
2191,491854,6.0,1,37,31.0,2024-02-07
1121,645886,7.8,0,17,15.0,2024-11-27
3757,263132,5.2,0,8,7.3,2024-08-05
2189,424634,6.9,1,59,49.6,2024-04-19
1206,60304,8.0,1,27,22.5,2024-01-17
955,285843,6.1,1,38,32.0,2024-03-03
1725,961718,7.7,1,90,75.6,2024-07-12
2162,566076,4.7,0,3,2.9,2024-09-03
2491,1075789,8.7,1,42,35.8,2024-01-07
4426,519597,9.5,1,98,81.9,2024-09-12
3578,593910,7.8,1,18,15.5,2024-01-29
3181,606740,9.7,1,110,91.9,2024-07-08
2682,184020,5.8,0,14,12.1,2024-10-15
1786,438137,7.4,1,104,87.4,2024-04-13
4121,1002338,8.4,1,2,1.9,2024-10-14
4874,1131751,6.1,0,37,31.4,2024-07-06
131,1195430,2.6,0,33,27.5,2024-08-14
3242,299340,8.9,1,32,27.0,2024-05-21
